platform,event_name,deadline,status,theme,link,difficulty,prize_pool,team_size,notes,score
Devfolio,Build On Monad,,Open,Web3/EVM,https://devfolio.co/hackathons,Intermediate,$50K+,1-4,Monad ecosystem focus – great if you're into L1s,,
Devfolio,ETHIndia 2025,,Upcoming,Web3,https://devfolio.co/hackathons,Intermediate,$100K+,1-4,Biggest ETH hackathon in Asia,,
Devfolio,Polkadot Hackathon,,Open,Web3/Polkadot,https://devfolio.co/hackathons,Advanced,$30K+,1-4,Substrate and Polkadot ecosystem,,
Devfolio,Bitcoin Frontier Fund,,Upcoming,Web3/Bitcoin,https://devfolio.co/hackathons,Advanced,$50K+,1-4,Bitcoin ecosystem – Ordinals, Lightning,,
Devfolio,Scroll Hackathon,,Open,L2/DeFi,https://devfolio.co/hackathons,Intermediate,$40K+,1-4,Scroll L2 ecosystem focus,,
Devpost,Google AI hackathon,,Upcoming,AI/ML,https://devpost.com/hackathons,Intermediate,$50K+,1-4,Google Cloud + Gemini APIs,,
Devpost,MLH Fellowship Hack,,Open,General,https://devpost.com/hackathons,Beginner,$10K+,1-3,Fellowship-specific but open,,
Devpost,Postman API Hackathon,,Open,API/Backend,https://devpost.com/hackathons,Beginner,$15K+,1-3,API-first projects – great for backend devs,,
Devpost,Art of Smart,,Open,AI/Creativity,https://devpost.com/hackathons,Intermediate,$20K+,1-4,AI + creative tools,,
Devpost,BYUhack,,Upcoming,General,https://devpost.com/hackathons,Beginner,$5K+,1-4,University hackathon – good entry point,,
Devpost,Clawddhacks,,Open,General,https://devpost.com/hackathons,Beginner,$5K+,1-4,Beginner-friendly,,
Devpost,Weather Hacks,,Open,Climate/Weather,https://devpost.com/hackathons,Intermediate,$10K+,1-4,Weather data + open APIs,,
MLH,MLH Spring Season,,Upcoming,General,https://mlh.io/seasons/spring,Intermediate,$5K+ per hack,1-4,Season-long program – multiple events,,
MLH,MLH Fall Season,,Upcoming,General,https://mlh.io/seasons/fall,Intermediate,$5K+ per hack,1-4,Flagship MLH season,,
MLH,MLH Local Hack Day,,Open,General,https://mlh.io/events,Beginner,$1K+,1-4,Local mini-hacks – best for first-timers,,
MLH,MLH Rust Hacks,,Open,Rust/Web3,https://mlh.io/events,Intermediate,$5K+,1-4,Rust language focused,,
DoraHacks,Sui Bootcamp,,Open,Web3/Sui,https://dorahacks.io,Intermediate,$20K+,1-4,Sui Move language focus,,
DoraHacks,ETH Denver Bounty,,Open,Web3/ETH,https://dorahacks.io,Intermediate,$30K+,1-4,ETH Denver side bounty,,
DoraHacks,AI Agent Hackathon,,Open,AI/Agents,https://dorahacks.io,Intermediate,$15K+,1-4,AI agent building focus,,
DoraHacks,BG Labs Incubator,,Open,Web3,https://dorahacks.io,Advanced,$50K+,1-4,Incubator-style – longer commitment,,
DoraHacks,Green Pill Network,,Open,RegenFi,https://dorahacks.io,Intermediate,$10K+,1-4,Regenerative finance,,
ETHGlobal,ETHGlobal Singapore,,Upcoming,Web3/ETH,https://ethglobal.com,Advanced,$100K+,1-4,Premier ETH hackathon series,,
ETHGlobal,ETHGlobal Bangkok,,Upcoming,Web3/ETH,https://ethglobal.com,Advanced,$100K+,1-4,Asian ETH hub event,,
ETHGlobal,ETHGlobal Superhack,,Open,Web3/ETH,https://ethglobal.com,Advanced,$150K+,1-4,Multi-chain super hackathon,,
ETHGlobal,ETHGlobalpragma,,Open,Web3/ETH,https://ethglobal.com,Intermediate,$50K+,1-4,Builder-focused track,,
Kaggle,Google AI Hackathon,,Open,AI/ML,https://kaggle.com/competitions,Intermediate,$25K+,1-4,ML competition style – data science focus,,
Kaggle,RSNA Challenge,,Open,Medical AI,https://kaggle.com/competitions,Advanced,$30K+,1-4,Medical imaging AI,,
Kaggle,LLM Science Exam,,Open,NLP/LLM,https://kaggle.com/competitions,Intermediate,$15K+,1-4,LLM benchmarking challenge,,
Kaggle,Feedback Prize,,Open,NLP/Education,https://kaggle.com/competitions,Intermediate,$20K+,1-4,NLP for student writing,,
HackerEarth,Blockchain Summit,,Open,Web3,https://hackerearth.com/challenges,Intermediate,$10K+,1-4,Blockchain + DeFi focus,,
HackerEarth,Minds of Metis,,Upcoming,AI/ML,https://hackerearth.com/challenges,Intermediate,$15K+,1-4,ML engineering challenge,,
HackerEarth,AMD Hackathon,,Open,Hardware/ML,https://hackerearth.com/challenges,Advanced,$20K+,1-4,AMD GPU optimization,,
HackClub,Shipwrecked,,Open,General,https://hackclub.com/hackathons,Beginner,$2K+,1-3,HackClub community event – teen-friendly,,
HackClub,Hack Club Arcade,,Open,General,https://hackclub.com,Beginner,$1K+,1,Self-directed building program,,
GitHub,Copilot Hackathon,,Upcoming,AI/DevTools,https://github.com/events,Intermediate,$10K+,1-4,GitHub Copilot integration focus,,
